date,value
2019-05-12,8878
2019-05-13,8876
2019-05-14,8874
2019-05-15,8872
2019-05-16,8870
2019-05-17,8868
2019-05-18,8865
2019-05-19,8863
2019-05-20,8861
2019-05-21,8859
2019-05-22,8857
2019-05-23,8855
2019-05-24,8853
2019-05-25,8851
2019-05-26,8848
2019-05-27,8846
2019-05-28,8844
2019-05-29,8842
2019-05-30,8840
2019-05-31,8838
2019-06-01,8836
2019-06-02,8834
2019-06-03,8831
2019-06-04,8829
2019-06-05,8827
2019-06-06,8825
2019-06-07,8823
2019-06-08,8821
2019-06-09,8819
2019-06-10,8817
2019-06-11,8815
2019-06-12,8812
2019-06-13,8810
2019-06-14,8808
2019-06-15,8806
2019-06-16,8804
2019-06-17,8802
2019-06-18,8800
2019-06-19,8798
2019-06-20,8796
2019-06-21,8793
2019-06-22,8791
2019-06-23,8789
2019-06-24,8787
2019-06-25,8785
2019-06-26,8783
2019-06-27,8781
2019-06-28,8779
2019-06-29,8777
2019-06-30,8775
2019-07-01,8772
2019-07-02,8770
2019-07-03,8768
2019-07-04,8766
2019-07-05,8764
2019-07-06,8762
2019-07-07,8760
2019-07-08,8758
2019-07-09,8756
2019-07-10,8754
2019-07-11,8751
2019-07-12,8749
2019-07-13,8747
2019-07-14,8745
2019-07-15,8743
2019-07-16,8741
2019-07-17,8739
2019-07-18,8737
2019-07-19,8735
2019-07-20,8733
2019-07-21,8730
2019-07-22,8728
2019-07-23,8726
2019-07-24,8724
2019-07-25,8722
2019-07-26,8720
2019-07-27,8718
2019-07-28,8716
2019-07-29,8714
2019-07-30,8712
2019-07-31,8710
2019-08-01,8708
2019-08-02,8705
2019-08-03,8703
2019-08-04,8701
2019-08-05,8699
2019-08-06,8697
2019-08-07,8695
2019-08-08,8693
2019-08-09,8691
2019-08-10,8689
2019-08-11,8687
2019-08-12,8685
2019-08-13,8683
2019-08-14,8680
2019-08-15,8678
2019-08-16,8676
2019-08-17,8674
2019-08-18,8672
2019-08-19,8670
2019-08-20,8668
2019-08-21,8666
2019-08-22,8664
2019-08-23,8662
2019-08-24,8660
2019-08-25,8658
2019-08-26,8655
2019-08-27,8653
2019-08-28,8651
2019-08-29,8649
2019-08-30,8647
2019-08-31,8645
2019-09-01,8643
2019-09-02,8641
2019-09-03,8639
2019-09-04,8637
2019-09-05,8635
2019-09-06,8633
2019-09-07,8631
2019-09-08,8629
2019-09-09,8627
2019-09-10,8624
2019-09-11,8622
2019-09-12,8620
2019-09-13,8618
2019-09-14,8616
2019-09-15,8614
2019-09-16,8612
2019-09-17,8610
2019-09-18,8608
2019-09-19,8606
2019-09-20,8604
2019-09-21,8602
2019-09-22,8600
2019-09-23,8598
2019-09-24,8596
2019-09-25,8593
2019-09-26,8591
2019-09-27,8589
2019-09-28,8587
2019-09-29,8585
2019-09-30,8583
2019-10-01,8581
2019-10-02,8579
2019-10-03,8577
2019-10-04,8575
2019-10-05,8573
2019-10-06,8571
2019-10-07,8569
2019-10-08,8567
2019-10-09,8565
2019-10-10,8563
2019-10-11,8561
2019-10-12,8559
2019-10-13,8557
2019-10-14,8554
2019-10-15,8552
2019-10-16,8550
2019-10-17,8548
2019-10-18,8546
2019-10-19,8544
2019-10-20,8542
2019-10-21,8540
2019-10-22,8538
2019-10-23,8536
2019-10-24,8534
2019-10-25,8532
2019-10-26,8530
2019-10-27,8528
2019-10-28,8526
2019-10-29,8524
2019-10-30,8522
2019-10-31,8520
2019-11-01,8518
2019-11-02,8516
2019-11-03,8514
2019-11-04,8512
2019-11-05,8509
2019-11-06,8507
2019-11-07,8505
2019-11-08,8503
2019-11-09,8501
2019-11-10,8499
2019-11-11,8497
2019-11-12,8495
2019-11-13,8493
2019-11-14,8491
2019-11-15,8489
2019-11-16,8487
2019-11-17,8485
2019-11-18,8483
2019-11-19,8481
2019-11-20,8479
2019-11-21,8477
2019-11-22,8475
2019-11-23,8473
2019-11-24,8471
2019-11-25,8469
2019-11-26,8467
2019-11-27,8465
2019-11-28,8463
2019-11-29,8461
2019-11-30,8459
2019-12-01,8457
2019-12-02,8455
2019-12-03,8453
2019-12-04,8451
2019-12-05,8449
2019-12-06,8446
2019-12-07,8444
2019-12-08,8442
2019-12-09,8440
2019-12-10,8438
2019-12-11,8436
2019-12-12,8434
2019-12-13,8432
2019-12-14,8430
2019-12-15,8428
2019-12-16,8426
2019-12-17,8424
2019-12-18,8422
2019-12-19,8420
2019-12-20,8418
2019-12-21,8416
2019-12-22,8414
2019-12-23,8412
2019-12-24,8410
2019-12-25,8408
2019-12-26,8406
2019-12-27,8404
2019-12-28,8402
2019-12-29,8400
2019-12-30,8398
2019-12-31,8396
2020-01-01,8394
2020-01-02,8392
2020-01-03,8390
2020-01-04,8388
2020-01-05,8386
2020-01-06,8384
2020-01-07,8382
2020-01-08,8380
2020-01-09,8378
2020-01-10,8376
2020-01-11,8374
2020-01-12,8372
2020-01-13,8370
2020-01-14,8368
2020-01-15,8366
2020-01-16,8364
2020-01-17,8362
2020-01-18,8360
2020-01-19,8358
2020-01-20,8356
2020-01-21,8354
2020-01-22,8352
2020-01-23,8350
2020-01-24,8348
2020-01-25,8346
2020-01-26,8344
